PG.ID,site,level,C14mean,C14sdev,C14.COV,lab.num,material,calib.curve,calBPmedian,group,region,notes
,Padre Areso,NA,5380,100,0.0185873605947955,GrN-14599,NA,intcal20,6122,Neolithic,Ebro,
,Padre Areso,NA,5400,100,0.0185185185185185,GrN-14599,NA,intcal20,6161,Neolithic,Ebro,
,Parco,NA,5970,60,0.0100502512562814,CSIC403,NA,intcal20,6848,Neolithic,Ebro,
,Parco,NA,6120,90,0.0147058823529412,GrN-20058,NA,intcal20,7010,Neolithic,Ebro,
,Parco,NA,6170,70,0.0113452188006483,CSIC-281,NA,intcal20,7037,Neolithic,Ebro,
,Paternanbidea,NA,5960,40,0.00671140939597315,GrA-13675,NA,intcal20,6808,Neolithic,Ebro,
,Paternanbidea,NA,6090,40,0.00656814449917898,GrA-13673,NA,intcal20,6960,Neolithic,Ebro,
,Peña 14,NA,7660,90,0.0117493472584856,GrN-25094,NA,intcal20,8563,Mesolithic,Ebro,
,Peña 14,NA,8000,90,0.01125,GrN-25998,NA,intcal20,8880,Mesolithic,Ebro,
,Peña de Marañón,d,7890,120,0.0152091254752852,BM-2363,NA,intcal20,8818,Mesolithic,Ebro,
1419,Peña Larga,IV,5830,110,0.0188679245283019,I-14909,bone,intcal20,,Neolithic,Ebro,
1420,Peña Larga,IV,6150,230,0.0373983739837398,I-15150,bone,intcal20,,Neolithic,Ebro,
1422,Peña Larga,IV,5010,40,0.00798403193612774,PL*1,n.d,intcal20,,Neolithic,Ebro,
1423,Peña Larga,IV,4890,50,0.0102249488752556,Beta-242781,bone,intcal20,,Neolithic,Ebro,
,Peña Larga,IV,5720,49,0.00856643356643357,Beta-242782,bone,intcal20,6520,Neolithic,Ebro,
,Peña Larga,IV,6720,40,0.00595238095238095,Beta-242783,bone,intcal20,7564,Mesolithic,Ebro,
,Plano dPulido,NA,5040,40,0.00793650793650794,Beta-258559,NA,intcal20,5766,Neolithic,Ebro,
,Pontet,NA,5644,42,0.00744153082919915,D-AMS 020207,NA,intcal20,6464,Neolithic,Ebro,
,Pontet,NA,6369,41,0.00643743130789763,D-AMS 020209,NA,intcal20,7296,Neolithic,Ebro,
,Pontet,NA,6370,70,0.010989010989011,GrN-14241,NA,intcal20,7250,Neolithic,Ebro,
,Pontet,NA,6963,32,0.00459572023553066,D-AMS 020208,NA,intcal20,7805,Mesolithic,Ebro,
,Pontet,NA,7340,70,0.00953678474114441,GrN-16313,NA,intcal20,8167,Mesolithic,Ebro,
,Pontet,NA,7341,32,0.00435907914453072,D-AMS 020210,NA,intcal20,8169,Mesolithic,Ebro,
,Pontet,NA,7941,65,0.00818536708223146,D-AMS 020211,NA,intcal20,8792,Mesolithic,Ebro,
,Portalón,NA,5230,40,0.00764818355640535,Beta-184842,NA,intcal20,6026,Neolithic,Ebro,
,Portalón,NA,6100,50,0.00819672131147541,Beta-222339,NA,intcal20,6992,Neolithic,Ebro,
,Portalón,NA,6270,40,0.00637958532695375,Beta-222340,NA,intcal20,7164,Neolithic,Ebro,
,Prado,NA,5640,40,0.00709219858156028,Beta-312351,NA,intcal20,6462,Neolithic,Ebro,
,Prado,NA,5880,30,0.00510204081632653,Beta-366569,NA,intcal20,6694,Neolithic,Ebro,
,Prado,NA,6050,40,0.00661157024793388,Beta-312352,NA,intcal20,6945,Neolithic,Ebro,
,Rambla Legunova,NA,5175,40,0.00772946859903382,GrA-52086,NA,intcal20,5952,Neolithic,Ebro,
