PG.ID,site,level,C14mean,C14sdev,C14.COV,lab.num,material,calib.curve,calBPmedian,group,region,notes
1006,Herriko Barra,Nivel esteril,4920,100,0.0203252032520325,I-15249,charcoal,intcal20,,Neolithic,País Vasco,
,Jaizkib3,D inferior,8300,50,0.00602409638554217,GrA-23733,human bone,intcal20,9258,Mesolithic,País Vasco,
1027,Jaizkib3,D superior,7770,50,0.00643500643500644,GrA-25774,charcoal,intcal20,,Mesolithic,País Vasco,
,Jaizkib3,F,7780,130,0.0167095115681234,GrN-28008,shell,marine20,8266,Mesolithic,País Vasco,
,Jaizkib3,F,8190,100,0.0122100122100122,GrN-27984,charcoal,intcal20,9066,Mesolithic,País Vasco,
1734,Jaizkib3,G superior,8470,50,0.00590318772136954,GrN-25776,charcoal,intcal20,,Mesolithic,País Vasco,
1733,Jaizkib4,G,8470,100,0.0118063754427391,GrN-28387,charcoal,intcal20,,Mesolithic,País Vasco,
1039,Kobaederra,II,5460,60,0.010989010989011,Beta-126686,charcoal,intcal20,,Neolithic,País Vasco,
1040,Kobaederra,II,4965,70,0.014098690835851,K*1,charcoal,intcal20,,Neolithic,País Vasco,
1036,Kobaederra,III,5820,240,0.0412371134020619,UBAR-471,charcoal,intcal20,,Neolithic,País Vasco,
1037,Kobaederra,IV,5375,90,0.0167441860465116,AA-29110,seed,intcal20,,Neolithic,País Vasco,
1038,Kobaederra,IV,5630,100,0.0177619893428064,UBAR-470,charcoal,intcal20,,Neolithic,País Vasco,
,Kobeaga II,Amek-h,7790,70,0.00898587933247754,UA-4286,bone,intcal20,8686,Mesolithic,País Vasco,
1041,Kobeaga II,NA,6945,65,0.00935925125989921,UA-4286,bone,intcal20,,Mesolithic,País Vasco,
,Linatzeta,child burial,7315,35,0.00478468899521531,KIA-33193,human bone,intcal20,8154,Mesolithic,País Vasco,
,Linatzeta,child burial,8110,50,0.0061652281134402,KIA-33193,human bone,intcal20,9007,Mesolithic,País Vasco,
,Linatzeta,hearth 1,6110,30,0.00490998363338789,KIA-30181,charcoal,intcal20,6996,Mesolithic,País Vasco,
691,Linatzeta,hearth 2,6810,30,0.00440528634361234,KIA-34976,charcoal,intcal20,,Mesolithic,País Vasco,
,Linatzeta,hearth 4D/5D,7650,30,0.00392156862745098,KIA-34976,charcoal,intcal20,8461,Mesolithic,País Vasco,
1267,Lumentxa,Lecho 10. Niv. II-III,5095,75,0.014720314033366,UA-12663,charcoal,intcal20,,Neolithic,País Vasco,
1268,Lumentxa,Lecho 9. Niv. II-III,5180,70,0.0135135135135135,UA-12662,charcoal,intcal20,,Neolithic,País Vasco,
1266,Lumentxa,NA,6122,38,0.00620712185560274,OxA-18236,human bone,intcal20,,Neolithic,País Vasco,
1276,Marizulo,Enterramiento,5315,100,0.0188146754468485,UA-4818,human bone,intcal20,,Neolithic,País Vasco,
1277,Marizulo,Enterramiento,5285,65,0.0122989593188269,GrN-5992,bone,intcal20,,Neolithic,País Vasco,
,Marizulo,I-base,6425,85,0.0132295719844358,UA-10272,NA,intcal20,7286,Mesolithic,País Vasco,
1278,Marizulo,II superior,6035,100,0.0165700082850041,UA-4819,bone,intcal20,,Mesolithic,País Vasco,
1280,Marizulo,Nivel I,5235,75,0.0143266475644699,UA-10375,bone,intcal20,,Neolithic,País Vasco,
,Pareko Landa,I-smk,6650,130,0.0195488721804511,GrN-22429,charcoal,intcal20,7554,Mesolithic,País Vasco,
,Pareko Landa,I-smk,7510,100,0.0133155792276964,GrN-24782,charcoal,intcal20,8300,Mesolithic,País Vasco,
1429,Pico Ramos,IV,6850,75,0.0109489051094891,Beta-191083,bone,intcal20,,Mesolithic,País Vasco,
1431,Pico Ramos,IV,4790,110,0.022964509394572,I-16798,bone,intcal20,,Neolithic,País Vasco,
1432,Pico Ramos,IV,5370,40,0.0074487895716946,Beta-181689,seed,intcal20,,Neolithic,País Vasco,
1433,Pico Ramos,IV,6040,90,0.0149006622516556,Beta-193569,shell,marine20,,Mesolithic,País Vasco,
,Pico Ramos,IV,5860,65,0.0110921501706485,UA-3051,bone,intcal20,6680,Mesolithic,País Vasco,
,Pico Ramos,IV,6040,90,0.0149006622516556,NA,NA,intcal20,6884,Mesolithic,País Vasco,
,Pico Ramos,IV,6840,75,0.0109649122807018,NA,NA,intcal20,7700,Mesolithic,País Vasco,
,Urratxa,nivel fertíl,6940,75,0.010806916426513,UA-11434,bone,intcal20,7790,Mesolithic,País Vasco,
,Urratxa,nivel fertíl,6955,80,0.0115025161754134,UA-11435,bone,intcal20,7796,Mesolithic,País Vasco,
